n,k,seed,train_size,model,test_acc,n_test
64,3,1,50000,LR,0.5155,20000
64,3,1,50000,MLP,0.9739,20000
64,3,1,100000,LR,0.50915,20000
64,3,1,200000,LR,0.5105,20000
64,3,2,1000,LR,0.49555,20000
64,3,2,1000,MLP,0.4974,20000
64,3,2,2000,LR,0.4971,20000
64,3,2,2000,MLP,0.5045,20000
64,3,2,5000,LR,0.496,20000
64,3,2,5000,MLP,0.5121,20000
64,3,2,10000,LR,0.4991,20000
64,3,2,10000,MLP,0.8185,20000
64,3,2,20000,LR,0.50185,20000
64,3,2,20000,MLP,0.50045,20000
64,3,2,50000,LR,0.50175,20000
64,3,2,50000,MLP,0.97785,20000
64,3,2,100000,LR,0.506,20000
64,3,2,200000,LR,0.51005,20000
64,3,3,1000,LR,0.51945,20000
64,3,3,1000,MLP,0.5156,20000
64,3,3,2000,LR,0.52765,20000
64,3,3,2000,MLP,0.5174,20000
64,3,3,5000,LR,0.5312,20000
64,3,3,5000,MLP,0.5271,20000
64,3,3,10000,LR,0.5304,20000
64,3,3,10000,MLP,0.898,20000
64,3,3,20000,LR,0.5322,20000
64,3,3,20000,MLP,0.9319,20000
64,3,3,50000,LR,0.5219,20000
64,3,3,50000,MLP,0.9794,20000
64,3,3,100000,LR,0.5202,20000
64,3,3,200000,LR,0.5168,20000
64,4,0,1000,LR,0.5041,20000
64,4,0,1000,MLP,0.50175,20000
64,4,0,2000,LR,0.49985,20000
64,4,0,2000,MLP,0.49955,20000
64,4,0,5000,LR,0.50635,20000
64,4,0,5000,MLP,0.50725,20000
64,4,0,10000,LR,0.50905,20000
64,4,0,10000,MLP,0.5077,20000
64,4,0,20000,LR,0.5025,20000
64,4,0,20000,MLP,0.50615,20000
64,4,0,50000,LR,0.50065,20000
64,4,0,50000,MLP,0.96405,20000
64,4,0,100000,LR,0.5067,20000
64,4,0,200000,LR,0.50475,20000
64,4,1,1000,LR,0.5042,20000
64,4,1,1000,MLP,0.5033,20000
64,4,1,2000,LR,0.4944,20000
64,4,1,2000,MLP,0.4983,20000
64,4,1,5000,LR,0.5006,20000
64,4,1,5000,MLP,0.5014,20000
64,4,1,10000,LR,0.4998,20000
64,4,1,10000,MLP,0.5033,20000
64,4,1,20000,LR,0.49925,20000
64,4,1,20000,MLP,0.5062,20000
64,4,1,50000,LR,0.5028,20000
64,4,1,50000,MLP,0.5047,20000
