n,k,sigma,attack_acc_at_max_budget,best_attacker,max_budget,crp_to_90pct,ber,ecc_code,resp_bits,helper_bits,resp_bits_rel_k1,key_fail_prob
128,1,0.05,0.9992,LR,200000,1000,0.015814,"rep1+BCH(255,131,16)x1",255,124,1.0,9.153e-07
128,2,0.05,0.5283,LR,200000,10000,0.031592,"rep1+BCH(255,87,26)x2",510,336,2.0,1.156e-07
128,3,0.05,0.5524,LR,200000,50000,0.046755,"rep1+BCH(511,148,52)x1",511,363,2.0,8.091e-08
128,4,0.05,0.5012,LR,200000,not reached,0.060358,"rep3+BCH(127,64,10)x2",762,634,2.99,2.465e-07
128,5,0.05,0.502,LR,200000,not reached,0.075442,"rep1+BCH(255,45,43)x3",765,630,3.0,7.265e-07
128,6,0.05,0.501,LR,200000,not reached,0.088395,"rep1+BCH(511,67,86)x2",1022,888,4.01,6.318e-09
