k,mean,std
1,0.01583619047619046,0.0011689753638809322
2,0.03152476190476186,0.0009807235054307174
3,0.044745714285714236,0.0022312321316700335
4,0.0621285714285714,0.0018989046848822118
5,0.07479904761904758,0.0026967634082022515
6,0.08761333333333332,0.00313053029927016
